Unnamed: 0,timestamp_utc,value
0,2022-12-31 23:00:00+00:00,-0.001
1,2022-12-31 23:15:00+00:00,-0.00475
2,2022-12-31 23:30:00+00:00,0.0001
3,2022-12-31 23:45:00+00:00,-0.008
4,2023-01-01 00:00:00+00:00,0.0004
5,2023-01-01 00:15:00+00:00,-0.0013
6,2023-01-01 00:30:00+00:00,0.02352
7,2023-01-01 00:45:00+00:00,0.00099
8,2023-01-01 01:00:00+00:00,-0.00504
9,2023-01-01 01:15:00+00:00,0.0001
10,2023-01-01 01:30:00+00:00,-0.00198
11,2023-01-01 01:45:00+00:00,-0.00483
12,2023-01-01 02:00:00+00:00,-0.0143699999999999
13,2023-01-01 02:15:00+00:00,-0.0008
14,2023-01-01 02:30:00+00:00,-0.01232
15,2023-01-01 02:45:00+00:00,-0.01831
16,2023-01-01 03:00:00+00:00,-0.00453
17,2023-01-01 03:15:00+00:00,-0.00079
18,2023-01-01 03:30:00+00:00,-0.0134
19,2023-01-01 03:45:00+00:00,-0.01021
20,2023-01-01 04:00:00+00:00,-0.02086
21,2023-01-01 04:15:00+00:00,-0.03
22,2023-01-01 04:30:00+00:00,-0.0199899999999999
23,2023-01-01 04:45:00+00:00,0.02186
24,2023-01-01 05:00:00+00:00,-0.01705
25,2023-01-01 05:15:00+00:00,-0.01044
26,2023-01-01 05:30:00+00:00,-0.01499
27,2023-01-01 05:45:00+00:00,-0.0008
28,2023-01-01 06:00:00+00:00,-0.007
29,2023-01-01 06:15:00+00:00,-0.001
30,2023-01-01 06:30:00+00:00,-0.00998
31,2023-01-01 06:45:00+00:00,-0.00299
32,2023-01-01 07:00:00+00:00,-0.01551
33,2023-01-01 07:15:00+00:00,-0.00399
34,2023-01-01 07:30:00+00:00,-0.037
35,2023-01-01 07:45:00+00:00,-0.02
36,2023-01-01 08:00:00+00:00,-0.02109
37,2023-01-01 08:15:00+00:00,-0.038
38,2023-01-01 08:30:00+00:00,-0.02009
39,2023-01-01 08:45:00+00:00,-0.0011899999999999
40,2023-01-01 09:00:00+00:00,-0.009
41,2023-01-01 09:15:00+00:00,-0.00086
42,2023-01-01 09:30:00+00:00,-8.999999999999999e-05
43,2023-01-01 09:45:00+00:00,0.00287
44,2023-01-01 10:00:00+00:00,-0.001
45,2023-01-01 10:15:00+00:00,-0.00533
46,2023-01-01 10:30:00+00:00,0.03945
47,2023-01-01 10:45:00+00:00,-0.0072
48,2023-01-01 11:00:00+00:00,-0.02499
49,2023-01-01 11:15:00+00:00,-0.01538
50,2023-01-01 11:30:00+00:00,0.004
51,2023-01-01 11:45:00+00:00,0.022
52,2023-01-01 12:00:00+00:00,-0.0059299999999999
53,2023-01-01 12:15:00+00:00,-0.02489
54,2023-01-01 12:30:00+00:00,-0.015
55,2023-01-01 12:45:00+00:00,-0.01
56,2023-01-01 13:00:00+00:00,-0.03
57,2023-01-01 13:15:00+00:00,-0.025
58,2023-01-01 13:30:00+00:00,-0.02668
59,2023-01-01 13:45:00+00:00,-0.012
60,2023-01-01 14:00:00+00:00,0.00339
61,2023-01-01 14:15:00+00:00,0.03999
62,2023-01-01 14:30:00+00:00,0.1
63,2023-01-01 14:45:00+00:00,0.0481
64,2023-01-01 15:00:00+00:00,0.028
65,2023-01-01 15:15:00+00:00,0.01
66,2023-01-01 15:30:00+00:00,0.005
67,2023-01-01 15:45:00+00:00,0.0877
68,2023-01-01 16:00:00+00:00,0.1179
69,2023-01-01 16:15:00+00:00,0.099
70,2023-01-01 16:30:00+00:00,0.1194
71,2023-01-01 16:45:00+00:00,0.1314
72,2023-01-01 17:00:00+00:00,0.049
73,2023-01-01 17:15:00+00:00,0.0001
74,2023-01-01 17:30:00+00:00,1e-05
75,2023-01-01 17:45:00+00:00,0.005
76,2023-01-01 18:00:00+00:00,0.02
77,2023-01-01 18:15:00+00:00,0.04028
78,2023-01-01 18:30:00+00:00,0.005
79,2023-01-01 18:45:00+00:00,0.0192
80,2023-01-01 19:00:00+00:00,0.01
81,2023-01-01 19:15:00+00:00,0.12
82,2023-01-01 19:30:00+00:00,0.0778
83,2023-01-01 19:45:00+00:00,0.05
84,2023-01-01 20:00:00+00:00,0.1
85,2023-01-01 20:15:00+00:00,0.04999
86,2023-01-01 20:30:00+00:00,0.039
87,2023-01-01 20:45:00+00:00,0.0891
88,2023-01-01 21:00:00+00:00,0.09325
89,2023-01-01 21:15:00+00:00,0.06501
90,2023-01-01 21:30:00+00:00,0.08
91,2023-01-01 21:45:00+00:00,0.087
92,2023-01-01 22:00:00+00:00,0.1906999999999999
93,2023-01-01 22:15:00+00:00,0.08
94,2023-01-01 22:30:00+00:00,0.08
95,2023-01-01 22:45:00+00:00,0.025
96,2023-01-01 23:00:00+00:00,0.05
97,2023-01-01 23:15:00+00:00,0.00998
98,2023-01-01 23:30:00+00:00,0.00999
99,2023-01-01 23:45:00+00:00,0.01
100,2023-01-02 00:00:00+00:00,0.02501
101,2023-01-02 00:15:00+00:00,0.0136899999999999
102,2023-01-02 00:30:00+00:00,-0.01324
103,2023-01-02 00:45:00+00:00,0.00199
104,2023-01-02 01:00:00+00:00,0.03293
105,2023-01-02 01:15:00+00:00,0.0095
106,2023-01-02 01:30:00+00:00,-5e-05
107,2023-01-02 01:45:00+00:00,0.00107
108,2023-01-02 02:00:00+00:00,-0.01122
109,2023-01-02 02:15:00+00:00,1e-05
110,2023-01-02 02:30:00+00:00,0.00078
111,2023-01-02 02:45:00+00:00,0.00758
112,2023-01-02 03:00:00+00:00,0.03008
113,2023-01-02 03:15:00+00:00,0.00806
114,2023-01-02 03:30:00+00:00,0.02017
115,2023-01-02 03:45:00+00:00,1e-05
116,2023-01-02 04:00:00+00:00,0.00639
117,2023-01-02 04:15:00+00:00,-0.00641
118,2023-01-02 04:30:00+00:00,-0.01048
119,2023-01-02 04:45:00+00:00,0.00209
120,2023-01-02 05:00:00+00:00,0.04266
121,2023-01-02 05:15:00+00:00,-0.0011899999999999
122,2023-01-02 05:30:00+00:00,0.02533
123,2023-01-02 05:45:00+00:00,0.0174
124,2023-01-02 06:00:00+00:00,0.02166
125,2023-01-02 06:15:00+00:00,0.0196
126,2023-01-02 06:30:00+00:00,0.044
127,2023-01-02 06:45:00+00:00,0.05
128,2023-01-02 07:00:00+00:00,0.0799
129,2023-01-02 07:15:00+00:00,0.08302
130,2023-01-02 07:30:00+00:00,0.00705
131,2023-01-02 07:45:00+00:00,0.04946
132,2023-01-02 08:00:00+00:00,0.12
133,2023-01-02 08:15:00+00:00,0.1
134,2023-01-02 08:30:00+00:00,0.1
135,2023-01-02 08:45:00+00:00,0.16565
136,2023-01-02 09:00:00+00:00,0.29
137,2023-01-02 09:15:00+00:00,0.3
138,2023-01-02 09:30:00+00:00,0.278
139,2023-01-02 09:45:00+00:00,0.19496
140,2023-01-02 10:00:00+00:00,0.3595
141,2023-01-02 10:15:00+00:00,0.255
142,2023-01-02 10:30:00+00:00,0.132
143,2023-01-02 10:45:00+00:00,0.109
144,2023-01-02 11:00:00+00:00,0.0928499999999999
145,2023-01-02 11:15:00+00:00,0.07
146,2023-01-02 11:30:00+00:00,0.08695
147,2023-01-02 11:45:00+00:00,0.10476
148,2023-01-02 12:00:00+00:00,0.12036
149,2023-01-02 12:15:00+00:00,0.13051
150,2023-01-02 12:30:00+00:00,0.1225499999999999
151,2023-01-02 12:45:00+00:00,0.10271
152,2023-01-02 13:00:00+00:00,0.15155
153,2023-01-02 13:15:00+00:00,0.109
154,2023-01-02 13:30:00+00:00,0.1199
155,2023-01-02 13:45:00+00:00,0.10027
156,2023-01-02 14:00:00+00:00,-0.001
157,2023-01-02 14:15:00+00:00,0.159
158,2023-01-02 14:30:00+00:00,0.20427
159,2023-01-02 14:45:00+00:00,0.1931399999999999
160,2023-01-02 15:00:00+00:00,0.18849
161,2023-01-02 15:15:00+00:00,0.17279
162,2023-01-02 15:30:00+00:00,0.18098
163,2023-01-02 15:45:00+00:00,0.20031
164,2023-01-02 16:00:00+00:00,0.2189199999999999
165,2023-01-02 16:15:00+00:00,0.19711
166,2023-01-02 16:30:00+00:00,0.22963
167,2023-01-02 16:45:00+00:00,0.17
168,2023-01-02 17:00:00+00:00,0.11695
